,Year,Date,RoundID,Stage,MatchID,Country,City,Stadium,Home_Team_Name,Home_Team_Initials,Half_Time_Home_Goals,Home_Team_Goals,Away_Team_Name,Away_Team_Initials,Half_Time_Away_Goals,Away_Team_Goals,Half_Time_Goals,Goals,Outcome_Of_The_Match,Win_Conditions,Attendance,Referee,Assistant_1,Assistant_2
212,1970.0,07 Jun 1970,250.0,Group 2,1880.0,Sweden,Toluca ,Luis Dosal,Sweden,SWE,0.0,1.0,Israel,ISR,0.0,1.0,0.0,2.0,DRAW, ,9624.0,TAREKEGN Seyoum (ETH),RADULESCU Andrei (ROU),HORVAT Drago (YUG)
213,1970.0,07 Jun 1970,250.0,Group 4,1774.0,Germany FR,Leon ,Nou Camp - Estadio Le�n,Germany FR,FRG,2.0,5.0,Bulgaria,BUL,1.0,2.0,3.0,7.0,Home_Team_Win, ,12710.0,ORTIZ DE MENDIBIL Jose Maria (ESP),VELASQUEZ Guillermo (COL),SALDANHA RIBEIRO Antonio (POR)
214,1970.0,07 Jun 1970,250.0,Group 3,1764.0,Brazil,Guadalajara ,Jalisco,Brazil,BRA,0.0,1.0,England,ENG,0.0,0.0,0.0,1.0,Home_Team_Win, ,66843.0,KLEIN Abraham (ISR),YAMASAKI MALDONADO Arturo (MEX),MACHIN Roger (FRA)
215,1970.0,07 Jun 1970,250.0,Group 1,1820.0,Mexico,Mexico City ,Estadio Azteca,Mexico,MEX,1.0,4.0,El Salvador,SLV,0.0,0.0,1.0,4.0,Home_Team_Win, ,103058.0,KANDIL Aly Hussein (EGY),DUNSTAN Keith (BER),TAYLOR John (ENG)
216,1970.0,10 Jun 1970,250.0,Group 2,1922.0,Sweden,Puebla ,Cuauhtemoc,Sweden,SWE,0.0,1.0,Uruguay,URU,0.0,0.0,0.0,1.0,Home_Team_Win, ,18163.0,LANDAUER Henry (USA),TAYLOR John (ENG),RADULESCU Andrei (ROU)
217,1970.0,10 Jun 1970,250.0,Group 4,1840.0,Germany FR,Leon ,Nou Camp - Estadio Le�n,Germany FR,FRG,3.0,3.0,Peru,PER,1.0,1.0,4.0,4.0,Home_Team_Win, ,17875.0,AGUILAR ELIZALDE Abel (MEX),ORTIZ DE MENDIBIL Jose Maria (ESP),SBARDELLA Antonio (ITA)
218,1970.0,10 Jun 1970,250.0,Group 3,1769.0,Brazil,Guadalajara ,Jalisco,Brazil,BRA,2.0,3.0,Romania,ROU,1.0,2.0,3.0,5.0,Home_Team_Win, ,50804.0,MARSCHALL Ferdinand (AUT),BARRETO RUIZ Ramon (URU),LORAUX Vital (BEL)
219,1970.0,10 Jun 1970,250.0,Group 1,1823.0,Soviet Union,Mexico City ,Estadio Azteca,Soviet Union,URS,0.0,2.0,El Salvador,SLV,0.0,0.0,0.0,2.0,Home_Team_Win, ,89979.0,HORMAZABAL DIAZ Rafael (CHI),COEREZZA Norberto Angel (ARG),DE MORAES Ayrton Vieira (BRA)
220,1970.0,11 Jun 1970,250.0,Group 2,1877.0,Italy,Toluca ,Luis Dosal,Italy,ITA,0.0,0.0,Israel,ISR,0.0,0.0,0.0,0.0,DRAW, ,9890.0,DE MORAES Ayrton Vieira (BRA),TAREKEGN Seyoum (ETH),TSCHENSCHER Kurt (GER)
221,1970.0,11 Jun 1970,250.0,Group 4,1779.0,Bulgaria,Leon ,Nou Camp - Estadio Le�n,Bulgaria,BUL,1.0,1.0,Morocco,MAR,0.0,1.0,1.0,2.0,DRAW, ,12299.0,SALDANHA RIBEIRO Antonio (POR),BAKHRAMOV Tofik (URS),VAN RAVENS Laurens (NED)
